3802,Movie,Chiriakhana,Satyajit Ray,1967,13+,127 min,Drama,Byomkesh Bakshi  a detective  is hired by a rich man to investigate the name of an actress appeared in a movie decades ago  who has eloped ever since  The case became complicated when the rich man is murdered by someone for that 
3803,Movie,Wheels on the Bus   More Kids Songs   CoComelon,Moonbug Entertainment,2018,ALL,51 min,Kids,CoComelon is here to help preschoolers learn letters  numbers  animal sounds  colors  and more  The videos impart prosocial life lessons  providing parents with an opportunity to teach and play with their children as they watch together  Sing along to some of the popular nursery rhymes like Wheels on the Bus  Bath Song  Baby Shark  Humpty Dumpty  and more 
3804,Movie,Sahasam,Chandra Sekhar Yeleti,2013,13+,149 min,"Action, Comedy, Science Fiction",Gautham Varma  an A T M security guard  goes on a treasure hunt for the diamonds hidden by his grandfather in the Hinglaj temple during the time of the India   Pakistan partition 
3805,Movie,PrimeVideoQATestMovie16 US,Test Director US,2015,G,0 min,"Action, Drama",PrimeVideoQATestMovie16 US Title Summary Goes here total of Summary400
3806,Movie,Monster From Green Hell,Kenneth G  Crane,1957,16+,72 min,"Horror, Science Fiction",A scientific expedition in Africa investigates wasps that have been exposed to radiation and mutated into giant  killing monsters 
3807,Movie,Koi Jaane Na,Amin Hajee,2021,13+,138 min,Suspense,A heartbroken writer struggling with writer s block goes to a quiet hill station where he finds love again but uncovers a copycat serial killer who has mysteriously come alive and is killing everyone around him 
3808,Movie,Kabullywood,Louis Meunier,2017,13+,85 min,Drama,A group of young Afghan artists decide to open a cultural center in the heart of Kabul 
3809,Movie,Hollow Scream,Joe Barajas,2020,16+,72 min,"Horror, Science Fiction",A narcissistic playboy entrepreneur with a dark past plays a new virtual reality game where he gets to be a serial killer  His genius brother discovers the dangerous truth behind the game and its creators 
3810,Movie,Hello Madam,VADLA JANARDHAN,2021,16+,113 min,"Action, Drama",The events that created a sensation across the country like Disha are still happening in the country  Animals in human form commit such atrocities It is the story of a girl who is doomed at the hands of a psycho  It is the story of a beast who traps girls and robs them of their virtue  What was the punishment for committing such atrocities  Is interesting 
3811,Movie,Hampton s Legion,Christopher Forbes,2021,16+,81 min,Action,When the Confederacy can no longer finance massive armies  Wade Hampton III  using his own money started  financed  and supplied his own infantry  cavalry  and artillery to help fight the war 
3812,Movie,Gila ,Jim Wynorski,2012,13+,91 min,"Horror, Science Fiction",A giant lizard terrorizes a rural mid west community with a group of heroic young people led by Chase Winstead attempting to destroy the creature 
3813,Movie,Gamera  The Giant Monster,Noriaki Yuasa,1965,13+,79 min,Science Fiction,The initial entry in the Gamera series was Daiei Studios  first successful attempt at making a massive scale kaiju movie  Hibernating under the Arctic  the turtle monster Gamera is awakened by an atomic bomb test  The behemoth creates chaos when it arrives in Japan and an ambitious plan must be hatched to try and stop the rampage 
3814,Movie,Gamera  Super Monster,Noriaki Yuasa,1980,13+,92 min,Science Fiction,As a massive alien craft heads to Earth to do evil  three good and powerful superwomen befriend a young boy who has a special connection to Gamera  and old foes return to do battle one more time 
3816,Movie,Gamera vs  Zigra,Noriaki Yuasa,1971,13+,88 min,Science Fiction,An alien woman from the planet Zigra and her spaceship creates a series of earthquakes around the globe  Two children at a marine park are caught in the crossfire as Gamera must combat the monster Zigra to save the earth 
3817,Movie,Gamera vs  Viras,Noriaki Yuasa,1968,13+,81 min,Science Fiction,As alien invaders plot to conquer the Earth  two Boy Scouts steal a mini submarine and discover Gamera in their midst  Transported to the alien s spaceship  the Scouts are menaced by the evil inhabitants  including Viras  a squid like monster that grows to colossal size to battle Gamera 
3818,Movie,Gamera vs  Jiger,Noriaki Yuasa,1970,13+,83 min,Science Fiction,When a giant stone statue on Wester Island is disturbed  the legendary monster Jiger appears and heads for Japan  Gamera tries to stop this new rival  only to be injured when Jiger lays eggs inside of him  As two boys in a submarine go on a dangerous quest inside of Gamera s body to save him  Jiger threatens the Expo  70 world s fair in Osaka 
3819,Movie,Gamera vs  Gyaos,Noriaki Yuasa,1967,13+,86 min,Science Fiction,Unusual volcanic activity in Japan awakens Gyaos  a bloodthirsty flying monster with the power to slice things in half with an ultrasonic ray  While scientists and the military scramble to devise a way to stop this new threat  a young boy forms an alliance with Gamera  a monster no one else seems to trust 
3820,Movie,Gamera vs  Guiron,Noriaki Yuasa,1969,13+,82 min,Science Fiction,Two young boys sneak aboard a spaceship and find themselves whisked away to the mysterious planet Terra  There  they encounter Gamera s old foe Gyaos and two female aliens with a taste for human brains  Gamera must save the children and battle the new monster Guiron  whose entire body is a deadly living weapon 
3821,Movie,Gamera vs  Barugon,Shigeo Tanaka,1966,13+,100 min,Science Fiction,Six months after Gamera s first appearance  a giant opal from New Guinea is brought back to Japan and the new monster Barugon is born  The creature attacks the city of Osaka by emitting a rainbow ray from its back  along with a freezing spray from its mouth  and only a fire breathing turtle can save the day 
3822,Movie,Full Strike,Derek Kwok  Henri Wong,2015,16+,108 min,Comedy,A disgraced former badminton champion teams up with a trio of ex cons out to redeem themselves through the sport by competing in a local tournament against a gangster and his team 
3824,Movie,Evil Eye,Elan Dassani  Rajeev Dassani,2020,16+,89 min,"Drama, Horror",Welcome to the Blumhouse  A superstitious mother is convinced that her daughter s new boyfriend is the reincarnation of a man who tried to kill her 30 years ago 
3825,Movie,El Duende Satiro,Jorge Bastidas Zea,2016,18+,89 min,"Drama, Horror",Legend told that in a small population of our country lived a girl named Palmira  she s a teenager who was becoming a beautiful woman  Her life in the town was spent normally  until it gives an unexpected turn when one of the demons expelled from paradise
3826,Movie,Devil s Island,Sean King  Taylor King,2021,13+,72 min,"Horror, Suspense",A young woman inherits an island from her grandparents  When she moves in  she discovers the locals are less than welcoming and trying to hide a secret 
3827,Movie,DEPARTURE,Robert Silver,2021,7+,11 min,Drama,A young woman is about to travel out of the country for the first time in her life  Before her flight she learns the powerful gift of self love from an unexpected stranger 
3828,Movie,Blippi   Explore With Blippi and Learn About Vehicles,Stevin John,2020,ALL,65 min,Kids,Blippi is an educational kids show tailored for children ages 2 5 years old  In this wonderful collection of videos for kids  Blippi visits a variety of exciting places and interesting vehicles  Follow Blippi as he explores an Ice cream truck  a jet ski  a helicopter and more 
3829,Movie,Beyond Adversity,Kaneesha Heath,2021,18+,107 min,Drama,Six strangers seek to better themselves in Emotions Anonymous  each of them offering a line of support for another member  When conflict arises they do the only thing they can to get through it   band together 
3830,Movie,Yatra  Tamil ,Mahi V Raghav,2019,ALL,125 min,"Drama, International",An Indian politician takes up a decision to go on a 900 mile walking tour as a part of his election campaign  Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y  S  Rajasekhara Reddy 
3831,Movie,Throwback Holiday,Trey Haley,2018,16+,80 min,"Comedy, Drama",In high school Jacqueline was the  it  girl who dated the  it  boy  whom she eventually married  Now she s in a quarter life crisis  an unfulfilled life  and a doomed marriage with spoiled kids to boot  After a chance encounter with a handsome former classmate  Jacqueline rethinks her life  For a fleeting moment  she wishes to go back to high school for a do over   And she does 
3832,Movie,The Christmas Toy,Eric Till,1986,ALL,50 min,"Kids, Science Fiction",It s Christmas Eve and the playroom is alive with excitement for the new toys that will arrive the next day  Balthazar  the old and wise bear  explains to the other toys that they must welcome the newcomers even though each of them may be replaced as one of the children s new favorite toys 
3833,Movie,The Alpha Test,Aaron Mirtes,2020,16+,86 min,Science Fiction,A suburban family drives their new gadget  The Alpha Home Assistant  to a killing rampage after mistreating and abusing it  leading to a full A I  uprising 
3834,Movie,Son of the South,Barry Alexander Brown,2021,18+,106 min,Drama,A grandson of a Klansman comes of age in the deep south and joins the Civil Rights Movement  From executive producer Spike Lee and based on Bob Zellner s autobiography   The Wrong Side of Murder Creek 
3836,Movie,Pinocchio  2020   English Subtitled ,Matteo Garrone,2020,PG-13,125 min,Drama,Academy Award  winner Roberto Benigni stars as Geppetto in the enchantingly reimagined Pinocchio  about a puppet that magically comes to life and dreams of being a real boy 
3837,Movie,Pinocchio  2020   4K UHD   English Subtitled ,Matteo Garrone,2020,PG-13,125 min,"Drama, Fantasy, Science Fiction",Academy Award  winner Roberto Benigni stars as Geppetto in the enchantingly reimagined Pinocchio  about a puppet that magically comes to life and dreams of being a real boy 
3838,Movie,Pinkfong  Summer in Wonderville,Pinkfong,2021,G,47 min,"Animation, Kids",It s a hot summer day in Wonderville  Let s join the Wonderstar friends during their wonderful summer adventures 
3839,Movie,Payback,Joseph Mensch,2021,16+,91 min,"Drama, Suspense",A young stockbroker at a Mob controlled Wall Street firm gets betrayed and sent to prison for six years  When he gets out  his quest for vengeance makes him a target of the Russian mafia 
3840,Movie,Number Zoo Adventures with Toddler Fun Learning,Christian Hughes,2019,ALL,30 min,Kids, Toddler Fun Learning  is an educational children s show for 2 6 years old  In their  Number Zoo  series  your children will enjoy learning how to count and recite the alphabet with many wonderful cute zoo animals 
3841,Movie,My Magic Halloween with Mila and Morphle,Arthur van Merwijk,2019,ALL,40 min,Kids, My Magic Pet Morphle  is an animated hit tv show for toddlers and older kids  Morphle can morph into anything his human companion Mila wants  From dinosaurs to cars  construction vehicles like diggers  dump trucks and cranes to pets like cats dogs and lions  Come celebrate Halloween with Mila and Morphle 
3842,Movie,Morphle Non Dialogue   Mila and Morphle Save the Day,Arthur van Merwijk,2019,ALL,41 min,"Animation, Kids",Mila and Morphle are back again  In this educational non dialogue series  watch Mila and Morphle transform into a superhero and heroically save people across their town 
3843,Movie,Me Without You,Sandra Goldbacher,2002,R,100 min,"Arthouse, Arts, Entertainment, and Culture, Drama",Two best friends  Anna Friel and Michelle Williams  grow up on the Isle of Wight and in Brighton in the 1970s and 1980s 
3844,Movie,Josh Blue  Sticky Change,Jay Chapman,2012,18+,52 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",Quipster Josh Blue hits the stage at Minneapolis  Varsity Theater  where he turns his cerebral palsy and cross cultural marriage into comedy gold 
3845,Movie,Go Buster   Buster the Wizard and More Original Kids Songs,Moonbug Entertainment,2020,ALL,38 min,Kids,Go Buster is an animated online educational kids series watched all over the globe  Brought to you by the creators of Little Baby Bum  Go Buster encourages learning  creativity and fun  Learn colors  shapes and numbers with of our well loved characters  Sing along and watch some classic nursery rhymes  songs and original videos 
3846,Movie,Gecko s Garage   STEM Learning for Kids,Christian Hughes,2020,ALL,41 min,Kids,Watch fun educational cartoons for children with Gecko s Garage  There are loads of trucks for children here on Gecko s vehicle shows such as monster trucks  fire trucks  ice cream trucks  buses  and construction trucks  These Gecko learning videos for kids will help children learn colors  learn shapes  learn numbers  learn the alphabet and much more 
3847,Movie,Gecko s Garage   Learn At Home with Gecko,Christian Hughes,2020,ALL,34 min,Kids,Watch fun educational cartoons for children with Gecko s Garage  There are loads of trucks for children here on Gecko s vehicle shows such as monster trucks  fire trucks  ice cream trucks  buses  and construction trucks  These Gecko learning videos for kids will help children learn colors  learn shapes  learn numbers  learn the alphabet and much more 
3848,Movie,Emmet Otter s Jug Band Christmas,Jim Henson,1977,ALL,53 min,"Drama, Kids",When a Christmas Eve talent contest is announced  Emmet Otter joins a jug band and his Ma decides to sing a song as they risk it all to make each other s dreams come true  Jim Henson directed this Christmas classic based on based on the book by Russell and Lillian Hoban 
3849,Movie,Cut the Rope   Om Nom Stories Dream Job,Arthur Merkulov,2017,ALL,23 min,"Animation, Kids, Sports",An astronaut  a magician  or a humble waiter  In search for his dream job  Om Nom fights zero gravity  delivers letters and performs magic tricks  Find out what he likes the most 
3850,Movie,Yakov Smirnoff  As Long As We Both Shall Laugh,David Stern,2004,13+,91 min,"Arts, Entertainment, and Culture, Comedy, Special Interest",Russian comedian Yakov Smirnoff examines the differences between men and women in this one man show 
3851,Movie,Wildflower,Nicholas DiBella,2016,PG-13,92 min,"Drama, Suspense",When a college student starts having a reoccurring nightmare  she begins to believe that it s a suppressed memory  Her seach to find answers forces her to confront past traumas  while at the same time unlocks a mystery that may bring a killer to justice 
3852,Movie,White Blessing,Janchivdorj Sengedorj,2017,16+,105 min,Drama,This film is based on a real life event of Sumiya Dorjsuren who competes in the 57 kg and ranks world number one judoka according to the Olympic ranking qualification in Rio Olympics 2016  The film has attracted many actual life events of Sumiya Dorjsuren including happy and sad moments but it will conclude with her competing in the Olympics and hoping that she d be successful 
3853,Movie,Up In Smoke,Lou Adler,1978,R,86 min,Comedy,Cheech and Chong make their film debut in this riotous rock n roll comedy  bringing with them the same madness  lifestyles and sketches that sold over 10 million records in the early  70s 
3854,Movie,Unacknowledged  An Expose of the World s Greatest Secret,Michael Mazzola,2017,18+,104 min,Documentary,Dr  Steven Greer present brand new  stop secret evidence supporting Extraterrestrial contact including witness testimony  classified documents  and UFO footage while also exploring the consequences of ruthlessly enforcing such secrecy 
3855,Movie,Trouble at Timpetill,Nicolas Bary,2008,13+,98 min,"Comedy, Young Adult Audience",The children of a small European mountain village end up being its only residents  soon after the adults cannot take their behavior any longer 
3856,Movie,Toxic Shark,Cole Sharpe,2017,UNRATED,88 min,"Action, Science Fiction",What was supposed to be days of relaxation turns deadly for singles when they discover they aren t alone  While enjoying an array of social activities in and around the ocean  the guests have no idea they are being hunted by deadly sharks 
3857,Movie,Titeuf,Zep,2011,13+,87 min,"Animation, Kids, Young Adult Audience",Titeuf is a famous character from comics and animation series  In this movie   Titeuf s life never been worse  Nadia didn t invite him to her birthday party  his parent s are close to be deported   and everything looks so bad  No one can solve the problems now but Titeuf in his funny ways     Or maybe he ll fail too 
3858,Movie,The Thieves Code,Alex Power,2021,18+,101 min,"Action, Drama, Romance", When a low level thief uncovers her wife s debt to the mafia  she enlists her partner in crime  her other lover s  help to get the money  Unfortunately  he too owes the mafia  forcing the thieves to tackle a risky heist  unaware that a much larger scheme is at play  
3859,Movie,The Secret Diaries of Miss Anne Lister,James Kent,2010,16+,90 min,"Drama, LGBTQ",The story of Anne Lister  a 19th century Yorkshire landowner  industrialist and lesbian  Anne kept a detailed account of her life in a fascinating and painfully honest 4 000 000 word journal  A sizeable portion was written in code  and the recent deciphering of the diaries provides an astonishing insight into the life of the woman who has been called Britain s first modern lesbian 
3860,Movie,The Rolling Stones   From The Vault  Hampton Colesium Live In 1981,Hal Ashby  Tom Trbovich,2014,13+,143 min,Music Videos and Concerts, From The Vault  is a new series of live concerts from The Rolling Stones archive which are getting their first official release   Hampton Coliseum   Live In 1981  was part of the band s American Tour in 1981 and was the most successful tour of that year taking a then record  50 million dollars in ticket sales 
3861,Movie,The Pizza Joint,W  L  Molina,2021,18+,91 min,Comedy,Thomas  Timothy Delaghetto  and Anthony  Anthony Guajardo  run the best pizza joint in town  Phu King Pizza  They have a deal in place with Playa Playa  Noel G   to use his most coveted strain   Jamaican Goddess   and infuse it directly into the pizza  On pay day the  20k owed to Playa Playa was stolen  and the duo with their misfit employees  are given until midnight to pay the debt or else 
3862,Movie,The Perfect Game,William Dear,2011,PG,117 min,Drama,After Cesar s baseball career ends  he moves to Mexico and is recruited to coach a rag tag team and compete in the 1957 Little League World Series 
3863,Movie,The Map of Tiny Perfect Things,Ian Samuels,2021,PG-13,99 min,"Comedy, Romance, Young Adult Audience",Quick witted teen Mark  Kyle Allen  is contentedly living the same day in an endless loop when his world is turned upside down by the mysterious Margaret  Kathryn Newton   also stuck in the same loop  What follows is a love story with a fantastical twist  as the two struggle to figure out how   and whether   to escape their never ending day 
3864,Movie,The Magnetic Monster   One of the best 50 s Sci Fi Movies,Curt Siodmak,1953,13+,75 min,"Drama, Horror, Science Fiction",For many  this  B  film succeeds on all levels   was made for an adult audience   For some  it s considered schlock  One of the few 50 s Sci Fi films to show the nuclear radiation problem realistically  Dated now   but an effective  well written thriller  The star of  It Came From Outer Space   Creature From The Black Lagoon    other classics  Richard Carlson gives another fine performance 
3865,Movie,The Horrific Evil Monsters,Adam R  Steigert,2021,18+,70 min,Action,A secret government agency recruits a misfit band of superhumans to battle a biblical force 
3866,Movie,The Handmaiden,PARK CHAN wook,2016,18+,145 min,"International, LGBTQ, Suspense",From PARK Chan wook  the celebrated director of OLDBOY  LADY VENGEANCE and STOKER  comes a ravishing new crime drama  PARK presents a gripping and sensual tale of two women   a young Japanese Lady living on a secluded estate  and a Korean woman who is hired to serve as her new handmaiden  but is secretly plotting with a conman to defraud her of a large inheritance 
3867,Movie,The Edge of Marlene,Ana Valine,2016,16+,97 min,"Comedy, Drama",This darkly comic drama centers on mother daughter con artists  Sammie lives with her pill popping  alcoholic mom Marlene   this bittersweet journey leads us through their dysfunction  love   addiction  before an unusual deliverance 
3868,Movie,The Booksellers,D  W  Young,2020,7+,99 min,Documentary,A behind the scenes look at the New York rare book world 
3869,Movie,The Bath Song   More Kids Songs   Super Simple Songs,Super Simple Songs,2017,ALL,41 min,"Animation, Kids",This collection of 20 Super Simple Songs features original kids songs and classic nursery rhymes made simple  It includes children s favorites If You re Happy  Old MacDonald  Put On Your Shoes  The Wheels On The Bus  The Bath Song  Walking Walking  and many more  Great for preschool and younger 
3870,Movie,The Adventures Of Tartu,Harold S  Bucquet,1943,NR,103 min,Suspense,Stevenson  a British soldier fluent in Rumanian and German  goes undercover to sabotage a German poison gas factory  He turns himself into Jan Tartu  a member of the Rumanian Iron Guard 
3871,Movie,Taken In,Travis Guba,2021,13+,15 min,"Drama, Suspense",A disturbance is reported in a quiet neighborhood  When a police officer investigates  things aren t what they seem 
3872,Movie,Stonewall,Nigel Finch,1997,18+,92 min,"Arts, Entertainment, and Culture, LGBTQ",America comes out of the closet in this exuberant musical comedy based on real events  To the music of The Shangri Las  Patti LaBelle and Judy Garland  Stonewall mixes outrageous lip synching with glitter  romance and attitude 
3873,Movie,Sound of Metal,Darius Marder,2020,R,121 min,Drama,Metal drummer Ruben begins to lose his hearing  When a doctor tells him his condition will worsen  he thinks his career and life is over  His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life  After being welcomed and accepted just as he is  Ruben must choose between his new normal and the life he once knew 
3874,Movie,Seven Days In Utopia,Matt Russell,2011,7+,99 min,"Drama, Special Interest, Sports",After a disastrous debut on the pro circuit  a young golfer finds himself unexpectedly stranded in Utopia  Texas and welcomed by an eccentric rancher 
3875,Movie,Sebastian LIVE,Manny Rodriguez,2009,18+,62 min,"Arts, Entertainment, and Culture",Sebastian Maniscalco s comedy is impeccably paced and chock full of seething observations on daily human behavior  He voices his disgust of everything from shopping at discount department stores to men in flip flops  Filmed at the famed Paramount Theatre in St  Louis  Missouri  Sebastian LIVE  will leave you screaming for more of Sebastian s unique brand of humor 
3876,Movie,Rolling Stones   Sticky Fingers Live At The Fonda Theatre 2015,Paul Dugdale,2017,13+,87 min,Music Videos and Concerts,On May 20th 2015 at the Fonda Theatre in Hollywood  California  The Rolling Stones performed the entire Sticky Fingers album live in concert for the first time  The intimate setting of the Fonda Theatre was in contrast to the huge stadiums in which the band would perform for the rest of the tour and made this an incredibly special occasion for those fans lucky enough to get a ticket 
3877,Movie,Recognize,Terry T  Miles,2021,18+,93 min,"Action, Drama",Recognize is an action packed urban film about an car dealership owner that works as respectable job by day but has a dark twisted side to him that you wouldn t expect  This film delivers a strong message to the streets  Definitely said to be the next hood classic  Written and directed by TMiles Exec Producer Terry T Miles Cinematography Jason Diaz
3878,Movie,Razia Sultan,Kamal Amrohi,1983,13+,151 min,Drama,Razia Sultan  the first female ruler of the Delhi Sultanate  lands in trouble and loses her kingdom when she falls in love with Jamal ud Din Yakut  an Abyssinian slave 
3879,Movie,Pinkfong and Baby Shark s Space Adventure,Pinkfong,2019,ALL,65 min,"Animation, Kids",Follow Pinkfong   Baby Shark s space journey as they visit mysterious planets to help find the special star for Pinkfong 
3880,Movie,Pachchis,Sri Krishna  Rama Sai,2021,16+,128 min,"Action, Suspense",Abhiram  Ramaz  wants to hit a jackpot through gambling and soon loses all the money  In order to make a quick recovery  he presses his luck in a political feud and bumps into Avantika  Swetha Varma  who searches for her missing brother  And the rest of the Pacchis movie is an out and out cat and mouse thriller 
3881,Movie,Other Voices,Ose Oyamendan,2021,18+,84 min,Documentary,Unlikely friends in Gaza   Sderot  THE battlefield of the Israeli  Palestinian conflict  band together to save their neighborhood
3882,Movie,Octagon,Christopher Wiggins,2017,R,103 min,Horror,A young man  Nicky  has the same nightmare every night  Convinced that his recurring nightmare is real  he takes his girlfriend  Lora  deep into the woods to look for clues to prove he s right  Nicky recalls each part of his dream as they travel  eight bizarre and grotesque stories that comprise his living nightmare 
3884,Movie,Nagina,Harmesh Malhotra,1986,13+,137 min,"Drama, Romance, Science Fiction",Rajiv  however  is in love with an orphan named Rajni  Rajni wins Rajiv s mother over and they are allowed to marry  All goes well until a snake charmer  Bhairo Nnath  arrives on the scene and tells the mother that her daughter in law is a reptilian shape shifter with evil intentions  Bhairo Nnath knows more than he is telling 
3885,Movie,Monsieur Papa,Kad Merad,2011,13+,89 min,"Comedy, Drama",Monsieur Papa is the story of the strange bond that will be formed between Marius  Marie and Robert  who unexpectedly becomes a father  A bond that will give them plenty of headaches and mark their lives 
3886,Movie,Mere Jeevan Saathi,Suneel Darshan,2006,ALL,125 min,"Arts, Entertainment, and Culture, Drama, Romance",A love triangle which involves a rock star  a woman he s always been in love with and his new sensual boss who will stop at nothing to get what she wants  no matter who she hurts in the process 
3887,Movie,Mary Higgins Clark s  Lucky Day,Penelope Buitenhuis,2002,PG-13,94 min,"Drama, Suspense",Having the winning lottery jackpot ticket is the best thing that could have happened to delivery man Bill Regan   until he turns up dead with his wallet emptied  Determined to find out what happened  a friend retraces Bill s delivery stops and discovers they lead to her own husband 
3888,Movie,Mary Higgins Clark s  Before I Say Goodbye,Michael Storey,2003,PG-13,95 min,"Drama, Suspense",Nell MacDermott loses her husband in a fiery boating accident and visits a psychic to connect with him again  But when she s informed that he was murdered  Nell is compelled to find the killer searching for an elusive witness who could solve the mystery   or end her life 
3889,Movie,Mary 4 Mayor,Chris Aronoff,2021,PG,97 min,"Comedy, Romance",Running for mayor against her incumbent father  an 18 year old young woman discovers valuable secrets that will not only save her town  but also her family  TV PG
3890,Movie,Manifest Destiny  The Lewis   Clark Musical Adventure,Anthony Parisi,2016,13+,87 min,Comedy,Lewis and Clark blaze a trail to the western waters in this epic spoof on American history 
3891,Movie,Mama s Song,David Wendell Boykins,2020,18+,41 min,"Drama, Kids, Special Interest",Mama s song is a film about a son who has to pick up the pieces after a family crisis 
3892,Movie,Lea   Pop   Twinkle Twinkle Little Star   More Kids Songs,Mora TV,2021,ALL,50 min,"Animation, Kids",Make bedtime easier with these lullabies  Soothing words and music helps babies calm down and help them sleep  These lullabies lyrics lend themselves to some fun hand movements that will keep baby entertained and smiling  Put your children to sleep with lullabies from Lea and Pop  Playing soft lullabies with baby relaxing music at bedtime promotes comfort  quality sleep and brain development 
3893,Movie,Lea   Pop   Baby Shark   More Kids Songs,Mora TV,2021,ALL,52 min,"Animation, Kids",This compilation brings you multiple educational songs for kids in one video  Come and sing together with our funny friends  Lea   Pop  A musical adventure  full of dancing songs  animals  numbers  shapes and alphabet learning activities  Educational and entertaining preschool content  Enjoy  Let s sing and dance on Looby Loo  let s clap our hands and dance with Baby Shark family 
3895,Movie,Jurassic Dinosaur Quest T Rex Ranch,Aaron Michael,2018,ALL,13 min,Kids,T Rex Ranch brings you another awesome fun packed collection of Jurassic dinosaur videos   Watch your favorite park rangers get into all sorts of wonderful adventures  coming across lots of scary dinosaurs  awesome toys and much more 
3896,Movie,Jungle,Greg McLean,2017,R,116 min,Action,A group of friends join a guide for a trek into the Bolivian jungle  searching for an Indian village  The men soon realize that the jungle is a difficult place to be 
3898,Movie,Highlander,Russell Mulcahy,1986,R,117 min,"Action, Adventure, Fantasy",An immortal Scottish swordsman must confront the last of his immortal opponent  a murderously brutal barbarian who lusts for the fabled  Prize  
3899,Movie,Helena,Alfonso Ciccarelli,2020,16+,80 min,Drama,Helena  a brilliant journalist  writes articles on the land of fires and recurring is the phrase  To my land that may flourish and never burn again  Helena lends herself to helping people with cancer with her psychologist friend Maria  Stefania De Francesco  
3900,Movie,He s Out There,Quinn Lasher,2018,R,89 min,"Action, Horror, Suspense",On vacation at a remote lake house  a mother and her two young daughters must fight for survival after falling into a terrifying and bizarre nightmare conceived by a psychopath 
3901,Movie,Eruption LA,Sean Cain,2018,UNRATED,87 min,"Action, Adventure, Fantasy",Struggling screenwriter Josh Kendricks finds himself starring in his own disaster movie when volcanoes begin erupting all over Los Angeles  Now Josh must work together with a scientist and a Hollywood diva to save the city before it blows in one final eruption 
3902,Movie,Ed Hill  Candy and Smiley,Jeremy Podlog,2021,13+,68 min,"Arts, Entertainment, and Culture, Comedy",Candy   Smiley is relevant  realistic  and at times   ridiculous  Comprised of stories about Ed s life and relationship with his parents  the special explores the intricacies and intimacies of a first generation Taiwanese Canadian family 
3903,Movie,Duniyadari,Sanjay Jadhav,2013,13+,146 min,Romance,A young man in his 20s who is caught up in a bitter relationship with his parents  In spite of having all materialistic pleasures he craves for something better in his life  The void in his life is filled by the Digya gang he meets on college katta  soon comes bliss in his life in form of two beautiful girls  Life teaches Shreyas to face facts  through his friends and people around him 
3904,Movie,Drastic Measures,Wade Alexander,2019,16+,79 min,"Drama, Horror, Suspense",An estranged husband and wife attempt to rekindle their marriage by taking a vacation at a cabin in the woods  But they soon find themselves in a dangerous situation when another couple unexpectedly appears 
3905,Movie,Crucified,Claudio Lattanzi,2021,16+,72 min,"Horror, Suspense",In a world ravaged by the Apocalypse  groups of soldiers are engaged in exterminating every person they find in their search for patient zero  the root of all this evil 
3906,Movie,Come Out Fighting,Eric Weston,2016,18+,101 min,Romance,A classic tale of love and survival in the brutal world of bare knuckle fighting  Powerfully told and acted by a wonderful ensemble of actors  Jazz desperately looks for a way out of the dark past that haunts him and the violence he faces as a bare knuckle fighter  Gia leads a lonely life while trying to corral her out of control brother  Fast Buck  Freddie who only dreams of a big and easy score 
3907,Movie,Cleo,Giuseppe Di Paola,2020,13+,15 min,Drama, Cleo  claustrophobically tells the routine of an elderly man named Bruno who has spent his entire life rejecting any kind of technology  The shortfilm wants to show an alternative vision of today s times in which technology is increasingly taking over the lives of the new generations  telling the point of view of those who cannot use it with the same ease 
3908,Movie,Cannibal Troll,Scott Jeffrey  Rebecca Matthews,2021,18+,84 min,Horror,A group of friends on a camping trip  for the bride to be  s hen do  find themselves hunted down by a man eating cannibal troll in the woodland  They are hunted  captured and locked up in the Trolls torture chamber being forced to undergo a variety of challenges in order to escape their fate 
3909,Movie,Bastaard,Mathieu Mortelmans,2019,18+,104 min,"Drama, Suspense",Seventeen year old Daan does not have an easy time  His older brother Robbie died in an accident two years ago  which still leaves traces within the family  His mother Nina is locked up at home  his father Filip runs away from work  When mother and son meet the homeless Radja  Nina smells an opportunity to fill the void in her life again 
3910,Movie,Back For Good,Bailey Donovan  Molly Donovan,2021,18+,73 min,Drama,An actress confronts her quarter life crisis by breaking up with New York City and returning home to win back the love of her life 
3911,Movie,Baby Shark   More Kids Songs   Super Simple Songs,Super Simple Songs,2017,ALL,48 min,Kids,This collection of 20 of the most loved Super Simple Songs includes   Baby Shark    Five Little Ducks    This Is The Way    The Ice Cream Song    Mr  Golden Sun   and many more kids songs and nursery rhymes 
3912,Movie,Absurd Accident,Li Yuhe,2017,16+,101 min,"Arthouse, Comedy, Drama",Bouncing with nail biting suspense and ingenious humor  this audacious debut portrays a puzzling crime happened in a rural Chinese small town  where greed  lust and wit battle it out in one night  A sexually impotent motel owner hires a pro to murder his cheating wife  Everything goes exactly as planned  until two blind daters  a robber  a policeman and a strange dead body unexpectedly arrive 
3913,Movie,Aashiqui,Mahesh Bhatt,1990,ALL,145 min,"Drama, International, Romance",A small time singer struggling for a break gets his share of fame when his girlfriend becomes a successful model  Their relationship suffers when he begins to feel burdened by her popularity 
