46,Movie,Wilder Napalm,Glenn Gordon Caron,1993,PG-13,109 min,"Comedy, Science Fiction",Two brothers with the secret power of starting fires with their minds  reunite after years apart  only to find conflict with their differing lifestyles 
47,Movie,Wild Geese,Andrew V  McLaglen,2012,18+,135 min,Action,Screen legends Richard Burton  Roger Moore and Richard Harris star as a team of aging mercenaries hired by a wealthy industrialist for one final mission  Recruit and train a squad of desperate commandos  parachute into an unstable African nation  snatch its deposed President from a maximum security army prison  escape via the military controlled airport  and massacre anyone who gets in their way 
48,Movie,Wild Colombia Revealed,Mike Slee,2016,7+,91 min,"Documentary, Special Interest",Nestled at the top of South America  Colombia is a dream for ecologists everywhere  Filmed at over 85 locations with 150 hours of footage  this ambitious natural history feature showcases 38 different species from 20 documented ecosystems  From jaguars in the shadows hunting their prey to the silver arowana fish mouth brooding its young  this film reveals the wonder and majesty of Colombia 
49,Movie,Why We Fight,Eugene Jarecki,2006,PG-13,99 min,Documentary,Winner of the 2005 Grand Jury Prize at the Sundance Film Festival  Eugene Jarecki s groundbreaking documentary dissects the political  economic and historic reasons behind our increasingly aggressive military strategy since the end of World War II 
50,Movie,Whoop ,Kreeti Gogia,2018,18+,64 min,"Arts, Entertainment, and Culture",Abish Mathew is the world s greatest stand up comedian   citation needed  and this is the world s greatest stand up special   this definitely needs a citation   Every great punchline has a great set up  And in this one hour special  we find out how Abish was set up to be a punchline his whole life 
51,Movie,Who Wrote the New Testament ,Caryl Ebenezer  J  Mervyn Williams,2016,ALL,131 min,"Drama, Special Interest",How did a collection of 27 compositions  letters  and narratives come to change the course of history  This feature length film explores often controversial questions and debates at the heart of modern biblical studies  Who were the people that drove the spread of this seminal Christian text and how do modern scholars interpret the texts and other artifacts at the heart of this mysterious history 
52,Movie,Who Put The Klan Into Ku Klux Klan,Ian Lilley,2018,13+,59 min,Documentary,In this surprising documentary  archaeologist and historian Neil Oliver examines the links between racism today in the Deep South and the Scots who first occupied it 
53,Movie,Who Killed Doc Robin,Bernard Carr,1948,NR,52 min,Comedy,A group of people find themselves trapped in a creepy mansion  complete with secret passageways  a mad doctor and a murderous gorilla 
54,Movie,White Tiger,Karen Shakhnazarov,2021,16+,109 min,"Action, Science Fiction",Great Patriotic War  early 1940s  After barely surviving a battle with a mysterious  ghostly white Tiger tank  Red Army Sergeant Ivan Naydenov becomes obsessed with its destruction 
55,Movie,White Savior  Racism In The American Church,Aaron J  Christopher,2019,16+,62 min,"Documentary, Faith and Spirituality, Special Interest",Despite the progress many see in the US over the years  it  become increasingly clear that the deep roots of racism and white supremacy continue to run through our political  cultural  and religious institutions  White Savior explores the historic relationship between racism and American Christianity  the ongoing segregation of the church in the US  and the complexities of racial reconciliation 
56,Movie,Whistle Stop,Leonide Moguy,1946,13+,84 min,Drama,This film noir finds sexy and beautiful Mary returning to her small hometown wearing a mink coat  looking for new ways to get money  Soon after  she hooks back up with her old lover Kenny Veech  Raft   but finds he is still an unemployed  lazy drinker and gambler  whospends most of his days at the local nightclub  While at the nightclub  she meets owner Lew Lentz  Conway   and seeing an opportunity  starts an affair with him  Soon Mary has both Kenny and Lew jealous and competing for her  ending up in a couple of fistfights  Lew s bartender  Gitlo  McLaglen  recruits Kenny in a scene to rob Lew of the  15 000 he raised in sponsoring a local carnival  However  Lew finds out about the plot  and has both men framed for murder 
57,Movie,Where Love Found Me,David Bolt,2018,PG-13,85 min,"Action, Drama, Special Interest",Daring escapes  hilarious stunts and danger turn a Hollywood director s world upside down when he meets a band of street kids living in the slum  Inspired by true events and filled with laughter and faith  Where Love Found Me invites you to experience the adventures of street life and reimagine the meaning of family 
